04-29 02:52:03.429   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 20, H1 555455552.000000, H1_norm 52087.570312, H2_norm 0.000000 H2_norm 0.000000, V 399305472.000000, V_norm 37366.519531, HV 477380512.000000, HV_norm 44727.046875, LensPosition 295
04-29 02:52:03.553   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 21, H1 548223680.000000, H1_norm 52038.785156, H2_norm 0.000000 H2_norm 0.000000, V 394166304.000000, V_norm 37319.625000, HV 471195008.000000, HV_norm 44679.203125, LensPosition 293
04-29 02:52:03.680   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 22, H1 551797632.000000, H1_norm 51888.351562, H2_norm 0.000000 H2_norm 0.000000, V 395411776.000000, V_norm 37093.945312, HV 473604704.000000, HV_norm 44491.148438, LensPosition 291
04-29 02:52:03.806   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 23, H1 563954816.000000, H1_norm 52368.457031, H2_norm 0.000000 H2_norm 0.000000, V 404641184.000000, V_norm 37482.726562, HV 484297984.000000, HV_norm 44925.593750, LensPosition 289
04-29 02:52:03.931   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 24, H1 558267008.000000, H1_norm 51829.804688, H2_norm 0.000000 H2_norm 0.000000, V 0.000000, V_norm 0.000000, HV 479755584.000000, HV_norm 44496.664062, LensPosition 287
04-29 02:52:04.063   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 25, H1 554868736.000000, H1_norm 51466.625000, H2_norm 0.000000 H2_norm 0.000000, V 397422976.000000, V_norm 36793.445312, HV 476145856.000000, HV_norm 44130.035156, LensPosition 285
04-29 02:52:04.183   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 26, H1 550828544.000000, H1_norm 50938.089844, H2_norm 0.000000 H2_norm 0.000000, V 395340480.000000, V_norm 36469.968750, HV 473084512.000000, HV_norm 43704.031250, LensPosition 283
04-29 02:52:04.319   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 27, H1 540232768.000000, H1_norm 50357.457031, H2_norm 0.000000 H2_norm 0.000000, V 388204224.000000, V_norm 36098.242188, HV 464218496.000000, HV_norm 43227.851562, LensPosition 281
04-29 02:52:04.436   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 28, H1 533949120.000000, H1_norm 49781.511719, H2_norm 0.000000 H2_norm 0.000000, V 384123936.000000, V_norm 35723.238281, HV 459036544.000000, HV_norm 42752.375000, LensPosition 279
04-29 02:52:04.567   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 29, H1 527158464.000000, H1_norm 49206.546875, H2_norm 0.000000 H2_norm 0.000000, V 380007808.000000, V_norm 35384.269531, HV 453583136.000000, HV_norm 42295.406250, LensPosition 277
04-29 02:52:04.705   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 30, H1 523135584.000000, H1_norm 48523.546875, H2_norm 0.000000 H2_norm 0.000000, V 378022240.000000, V_norm 34975.617188, HV 450578912.000000, HV_norm 41749.582031, LensPosition 275
04-29 02:52:04.815   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 31, H1 513045856.000000, H1_norm 47624.773438, H2_norm 0.000000 H2_norm 0.000000, V 370952608.000000, V_norm 34357.695312, HV 441999232.000000, HV_norm 40991.234375, LensPosition 273
04-29 02:52:04.947   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 32, H1 506801568.000000, H1_norm 46977.070312, H2_norm 0.000000 H2_norm 0.000000, V 366878656.000000, V_norm 33933.925781, HV 436840128.000000, HV_norm 40455.500000, LensPosition 271
04-29 02:52:05.082   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 33, H1 490360320.000000, H1_norm 45969.878906, H2_norm 0.000000 H2_norm 0.000000, V 355657056.000000, V_norm 33261.464844, HV 423008704.000000, HV_norm 39615.671875, LensPosition 269
04-29 02:52:05.198   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 34, H1 482680384.000000, H1_norm 45113.523438, H2_norm 0.000000 H2_norm 0.000000, V 352121824.000000, V_norm 32837.859375, HV 417401088.000000, HV_norm 38975.691406, LensPosition 267
04-29 02:52:05.319   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 35, H1 474599776.000000, H1_norm 44266.472656, H2_norm 0.000000 H2_norm 0.000000, V 347666752.000000, V_norm 32344.447266, HV 411133248.000000, HV_norm 38305.460938, LensPosition 265
