01-19 06:33:39.573   831  2367 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=275 index=15, pd=-28.68, defocus(um)=-190, conf=760, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:39.623   831  2369 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=275 index=16, pd=-28.07, defocus(um)=-186, conf=805, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:39.679   831  2366 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=275 index=17, pd=-27.56, defocus(um)=-183, conf=832, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:39.725   831  2366 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=267 index=18, pd=-27.31, defocus(um)=-181, conf=839, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:39.777   831  2369 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=267 index=19, pd=-26.08, defocus(um)=-173, conf=873, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:39.827   831  2369 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=267 index=20, pd=-25.09, defocus(um)=-167, conf=892, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:39.878   831  2365 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=259 index=21, pd=-24.16, defocus(um)=-160, conf=910, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:39.929   831  2367 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=259 index=22, pd=-22.05, defocus(um)=-146, conf=976, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:39.979   831  2368 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=259 index=23, pd=-21.46, defocus(um)=-142, conf=1001, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:40.031   831  2367 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=251 index=24, pd=-21.27, defocus(um)=-141, conf=1016, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
