01-26 094713.539  1257  2049 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=391 index=23, pd=-1.61, defocus(um)=-103, conf=454, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094713.566  1257  2049 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=383 index=24, pd=-2.40, defocus(um)=-153, conf=412, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094713.603  1257  2049 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=383 index=25, pd=-2.05, defocus(um)=-131, conf=415, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094713.635  1257  2049 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=383 index=26, pd=-1.74, defocus(um)=-111, conf=436, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094713.671  1257  2054 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=375 index=27, pd=-1.56, defocus(um)=-99, conf=393, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094713.703  1257  2049 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=375 index=28, pd=-1.26, defocus(um)=-80, conf=404, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094713.734  1257  2050 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=375 index=29, pd=-1.70, defocus(um)=-108, conf=417, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094713.770  1257  2051 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=367 index=30, pd=-1.73, defocus(um)=-111, conf=427, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094713.802  1257  2050 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=367 index=31, pd=-2.15, defocus(um)=-137, conf=420, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094713.835  1257  2049 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=367 index=32, pd=-2.42, defocus(um)=-155, conf=408, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094713.869  1257  2051 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=359 index=33, pd=-2.73, defocus(um)=-174, conf=433, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094713.902  1257  2052 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=359 index=34, pd=-2.68, defocus(um)=-172, conf=450, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094713.937  1257  2054 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=359 index=35, pd=-2.08, defocus(um)=-132, conf=467, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094713.970  1257  2052 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=351 index=36, pd=-2.86, defocus(um)=-183, conf=505, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094713.998  1257  2052 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=351 index=37, pd=-2.46, defocus(um)=-157, conf=520, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094714.038  1257  2049 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=351 index=38, pd=-2.93, defocus(um)=-188, conf=518, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094714.065  1257  2049 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=343 index=39, pd=-2.77, defocus(um)=-178, conf=526, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094714.104  1257  2049 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=343 index=40, pd=-2.81, defocus(um)=-179, conf=525, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094714.134  1257  2052 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=343 index=41, pd=-2.89, defocus(um)=-185, conf=538, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094714.169  1257  2049 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=335 index=42, pd=-2.79, defocus(um)=-179, conf=562, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094714.199  1257  2049 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=335 index=43, pd=-2.33, defocus(um)=-150, conf=573, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094714.239  1257  2054 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=335 index=44, pd=-1.87, defocus(um)=-120, conf=548, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094714.270  1257  2050 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=327 index=45, pd=-1.11, defocus(um)=-69, conf=438, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094714.302  1257  2054 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=327 index=46, pd=-1.20, defocus(um)=-76, conf=476, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094714.334  1257  2049 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=327 index=47, pd=-0.73, defocus(um)=-47, conf=531, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094714.367  1257  2054 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=319 index=48, pd=-0.07, defocus(um)=-3, conf=595, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094714.403  1257  2054 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=319 index=49, pd=-0.18, defocus(um)=-10, conf=586, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094714.440  1257  2052 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=319 index=0, pd=-0.12, defocus(um)=-6, conf=596, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094714.470  1257  2054 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=311 index=1, pd=-0.13, defocus(um)=-6, conf=594, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094714.506  1257  2054 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=311 index=2, pd=-0.02, defocus(um)=0, conf=608, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094714.536  1257  2054 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=311 index=3, pd=-0.09, defocus(um)=-5, conf=614, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094714.567  1257  2054 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=303 index=4, pd=0.20, defocus(um)=12, conf=593, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094714.603  1257  2049 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=303 index=5, pd=0.24, defocus(um)=15, conf=607, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094714.636  1257  2052 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=303 index=6, pd=0.31, defocus(um)=19, conf=614, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094714.670  1257  2051 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=295 index=7, pd=0.58, defocus(um)=36, conf=634, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094714.702  1257  2054 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=295 index=8, pd=0.58, defocus(um)=36, conf=629, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094714.735  1257  2050 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=295 index=9, pd=0.69, defocus(um)=43, conf=626, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094714.765  1257  2050 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=287 index=10, pd=0.90, defocus(um)=57, conf=645, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094714.802  1257  2050 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=287 index=11, pd=1.02, defocus(um)=64, conf=637, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094714.835  1257  2049 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=287 index=12, pd=1.04, defocus(um)=66, conf=643, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094714.867  1257  2050 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=279 index=13, pd=1.29, defocus(um)=82, conf=629, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094714.900  1257  2050 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=279 index=14, pd=1.21, defocus(um)=76, conf=634, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094714.936  1257  2054 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=279 index=15, pd=1.42, defocus(um)=90, conf=646, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094714.968  1257  2049 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=271 index=16, pd=1.54, defocus(um)=99, conf=651, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094715.002  1257  2052 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=271 index=17, pd=1.46, defocus(um)=94, conf=654, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094715.038  1257  2049 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=271 index=18, pd=1.32, defocus(um)=83, conf=662, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094715.067  1257  2054 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=263 index=19, pd=1.40, defocus(um)=89, conf=657, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094715.101  1257  2050 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=263 index=20, pd=1.67, defocus(um)=106, conf=665, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094715.136  1257  2049 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=263 index=21, pd=1.68, defocus(um)=108, conf=677, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094715.172  1257  2049 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=255 index=22, pd=1.86, defocus(um)=118, conf=675, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094715.200  1257  2050 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=255 index=23, pd=1.87, defocus(um)=120, conf=674, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094715.238  1257  2052 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=255 index=24, pd=1.89, defocus(um)=122, conf=683, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094715.267  1257  2051 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=247 index=25, pd=2.63, defocus(um)=169, conf=686, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094715.301  1257  2052 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=247 index=26, pd=2.17, defocus(um)=139, conf=699, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094715.335  1257  2052 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=247 index=27, pd=2.19, defocus(um)=141, conf=691, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094715.364  1257  2052 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=239 index=28, pd=2.38, defocus(um)=151, conf=730, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094715.401  1257  2054 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=239 index=29, pd=2.29, defocus(um)=146, conf=725, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094715.435  1257  2054 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=239 index=30, pd=2.38, defocus(um)=153, conf=714, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094715.468  1257  2052 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=231 index=31, pd=2.61, defocus(um)=167, conf=724, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094715.502  1257  2051 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=231 index=32, pd=2.53, defocus(um)=162, conf=723, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094715.534  1257  2052 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=231 index=33, pd=2.56, defocus(um)=164, conf=721, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094715.567  1257  2054 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=223 index=34, pd=2.56, defocus(um)=164, conf=737, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094715.601  1257  2051 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=223 index=35, pd=2.67, defocus(um)=171, conf=725, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094715.638  1257  2051 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=223 index=36, pd=2.75, defocus(um)=176, conf=726, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094715.664  1257  2051 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=215 index=37, pd=3.04, defocus(um)=195, conf=746, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094715.704  1257  2051 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=215 index=38, pd=3.05, defocus(um)=195, conf=742, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094715.741  1257  2049 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=215 index=39, pd=3.12, defocus(um)=200, conf=747, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094715.773  1257  2049 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=207 index=40, pd=2.63, defocus(um)=169, conf=744, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094715.835  1257  2054 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=207 index=41, pd=2.87, defocus(um)=185, conf=749, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094715.868  1257  2050 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=207 index=42, pd=2.99, defocus(um)=192, conf=750, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094715.903  1257  2054 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=199 index=43, pd=3.08, defocus(um)=199, conf=753, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 094715.935  1257  2052 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=199 index=44, pd=3.28, defocus(um)=211, conf=758, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094715.966  1257  2052 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=199 index=45, pd=3.33, defocus(um)=214, conf=756, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094716.001  1257  2052 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=191 index=46, pd=3.37, defocus(um)=216, conf=768, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094716.033  1257  2050 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=191 index=47, pd=3.32, defocus(um)=213, conf=771, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094716.067  1257  2050 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=191 index=48, pd=2.96, defocus(um)=190, conf=730, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 094716.101  1257  2051 I CamX     [ CONFIG][STATS_AF ] af_haf_pdaf.cpp5223 af_pdaf_proc_pd_single CID[0] roi(0) lens_pos=183 index=49, pd=1.75, defocus(um)=111, conf=630, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
