01-26 10:47:33.453  1257  2052 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=319 index=39, pd=-2.97, defocus(um)=-165, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:33.475  1257  2052 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=319 index=40, pd=-2.95, defocus(um)=-164, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:33.512  1257  2049 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=311 index=41, pd=-2.43, defocus(um)=-134, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:33.548  1257  2049 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=311 index=42, pd=-2.46, defocus(um)=-136, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 10:47:33.580  1257  2049 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=311 index=43, pd=-2.56, defocus(um)=-141, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 10:47:33.617  1257  2051 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=303 index=44, pd=-2.65, defocus(um)=-146, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:33.646  1257  2053 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=303 index=45, pd=-2.54, defocus(um)=-141, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:33.677  1257  2049 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=303 index=46, pd=-2.60, defocus(um)=-144, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:33.712  1257  2051 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=295 index=47, pd=-2.28, defocus(um)=-127, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:33.743  1257  2051 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=295 index=48, pd=-2.25, defocus(um)=-124, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
