07-03 00:19:19.067  1095  1975 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=367 index=22, pd=-1.16, defocus(um)=-44, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:19.099  1095  1974 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=367 index=23, pd=-1.11, defocus(um)=-42, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:19.136  1095  1974 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=367 index=24, pd=-1.10, defocus(um)=-40, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:19.167  1095  1972 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=359 index=25, pd=-1.01, defocus(um)=-37, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:19.200  1095  1970 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=359 index=26, pd=-0.98, defocus(um)=-37, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:19.235  1095  1972 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=359 index=27, pd=-0.95, defocus(um)=-35, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:19.267  1095  1972 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=351 index=28, pd=-0.80, defocus(um)=-30, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:19.301  1095  1970 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=351 index=29, pd=-0.77, defocus(um)=-28, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:19.330  1095  1970 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=351 index=30, pd=-0.75, defocus(um)=-28, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:19.367  1095  1970 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=343 index=31, pd=-0.63, defocus(um)=-23, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
